,Title,Price,Discount,Rating,URL,Image
0,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  15.6 Inches","20,990",N/A,3.2 out of 5 stars,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-1,https://m.media-amazon.com/images/I/61qlqvTsocL._AC_SX148_SY213_QL70_.jpg
1,"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,  15.6 Inches","22,990",N/A,4.1 out of 5 stars,https://www.amazon.in/Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTJSWV1/ref=mp_s_a_1_2?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-2,https://m.media-amazon.com/images/I/71MuvuEjyAL._AC_SX148_SY213_QL70_.jpg
2,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  15.6 Inches","31,990",N/A,3.9 out of 5 stars,https://www.amazon.in/Acer-i3-1305U-Premium-Windows-AL15-53/dp/B0DB1SDB87/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-3,https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_SX148_SY213_QL70_.jpg
3,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  39.6 Centimetres","36,990",N/A,4.0 out of 5 stars,https://www.amazon.in/HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-4,https://m.media-amazon.com/images/I/71mruAvDR7L._AC_SX148_SY213_QL70_.jpg
4,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  15.6 Inches","33,990",N/A,3.7 out of 5 stars,https://www.amazon.in/Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-5,https://m.media-amazon.com/images/I/61dJdlYALfL._AC_SX148_SY213_QL70_.jpg
5,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  15.6 Inches","19,990",N/A,3.2 out of 5 stars,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-6,https://m.media-amazon.com/images/I/61qlqvTsocL._AC_SX148_SY213_QL70_.jpg
6,HP 15s Core i5 12th Gen (16GB RAM/512GB SSD/FHD/MS Office 21 /Backlit Keyboard /15.6-inch (39.6 cm)/FHD/Windows 11/Silver/1.69 kg) fy5009TU Laptop  39.6 Centimetres,"52,990",N/A,3.7 out of 5 stars,https://www.amazon.in/HP-Backlit-Keyboard-15-6-inch-fy5009TU/dp/B0D4M66F6R/ref=mp_s_a_1_7?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-7,https://m.media-amazon.com/images/I/61TIgpyjxPL._AC_SX148_SY213_QL70_.jpg
7,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU  39.6 Centimetres","41,990",N/A,4.1 out of 5 stars,https://www.amazon.in/HP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU/dp/B0B4N77Y34/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-8,https://m.media-amazon.com/images/I/61mwCxPRejL._AC_SX148_SY213_QL70_.jpg
8,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg  15.6 Inches","47,990",N/A,3.5 out of 5 stars,https://www.amazon.in/Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-9,https://m.media-amazon.com/images/I/61dJdlYALfL._AC_SX148_SY213_QL70_.jpg
9,"ASUS Vivobook 15, 15.6-inch (39.62 cm) FHD, Intel Pentium Gold 7505, Thin and Light Laptop, (8GB RAM/512GB SSD/Intergrated Graphics/Win11/Silver/1.8 Kg), X1500EA-EJ122WS  15.6 Inches","23,990",N/A,3.8 out of 5 stars,https://www.amazon.in/ASUS-Vivobook-15-6-inch-Intergrated-X1500EA-EJ122WS/dp/B0CZ3K42DX/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-10,https://m.media-amazon.com/images/I/71x1PocPi8L._AC_SX148_SY213_QL70_.jpg
10,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  14","16,109",N/A,3.3 out of 5 stars,https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=mp_s_a_1_11?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-11,https://m.media-amazon.com/images/I/61vGumezioL._AC_SX148_SY213_QL70_.jpg
11,"(Refurbished) Lenovo V310 7th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|MS Office|WiFi|BT|Webcam|Intel HD Graphics)  14 Inches","13,499",N/A,N/A,https://www.amazon.in/Refurbished-Lenovo-Laptop-Windows-Graphics/dp/B0DHKMPPC8/ref=mp_s_a_1_12?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-12,https://m.media-amazon.com/images/I/61IjWMlHE-L._AC_SX148_SY213_QL70_.jpg
12,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  15.6 Inches","29,990",N/A,3.9 out of 5 stars,https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-13,https://m.media-amazon.com/images/I/71czGb00k5L._AC_SX148_SY213_QL70_.jpg
13,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  14 Inches","13,988",N/A,3.6 out of 5 stars,https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=mp_s_a_1_14?dib=eyJ2IjoiMSJ9.M64XSfL1bhHEevjn4lrgU-6JrV_jftFBCguEqohCBiyZus9oLGSmWc3Wp4vmzu2qlDbth_EWtxC5OQHMZBbRuxNAWBApkbLTKOYInNvo2oJ3vmqvn5RswS8S1UCGyIdt0ouTLN6axuH7cc5JLIM5-xJtpYvgGlGxczfXDCcTEiJxlbQi3O5Hj85YS-HBVilC6qJgaxyob4tP5cMemGrxVA.hX3oOa-bId-vl0pyeNAfRUY7F3C7lCXpskLeu6ipm_s&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-14,https://m.media-amazon.com/images/I/617Ykb5YvLL._AC_SX148_SY213_QL70_.jpg
14,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Dell Inspiron 3535, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/MS Office' 21/15.6""(39.62 cm) FHD Display/15 Month McAfee/Carbon Black/1.67kg Thin & Light Laptop  ","28,990",N/A,3.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0Njc5MDE1Mzk0ODA3OjE3Mjg0NjgxNDU6c3BfYXRmX25leHQ6MzAwMzQ3ODIwMzEzNTMyOjowOjo&url=%2FDell-Inspiron-Window-Office-McAfee%2Fdp%2FB0DG5CY2Y2%2Fref%3Dsr_1_705_sspa%3Fkeywords%3DLaptop%26qid%3D1728468144%26sr%3D8-705-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/61Kfqt-h5-L._AC_UY218_.jpg
15,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",N/A,4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0Njc5MDE1Mzk0ODA3OjE3Mjg0NjgxNDU6c3BfYXRmX25leHQ6MzAwMTA0NjAzNDk3NDMyOjowOjo&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_706_sspa%3Fkeywords%3DLaptop%26qid%3D1728468144%26sr%3D8-706-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg
16,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  ASUS Vivobook S 15 OLED, Intel Core i5-13500H 13th Gen, 15.6-inch 2.8K OLED 120Hz, Thin & Light Laptop (16GB/1TB SSD//Win11/Office 2021//Backlit/FingerPrint/75WHr/Cool Silver/1.7 Kg), S5504VA-MA553WS  ","76,990",N/A,3.9 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0Njc5MDE1Mzk0ODA3OjE3Mjg0NjgxNDU6c3BfbXRmOjMwMDI4Mjc3MTIyODkzMjo6MDo6&url=%2FASUS-i5-13500H-15-6-inch-FingerPrint-S5504VA-MA553WS%2Fdp%2FB09T8M31ML%2Fref%3Dsr_1_707_sspa%3Fkeywords%3DLaptop%26qid%3D1728468144%26sr%3D8-707-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/61Gfga54cmL._AC_UY218_.jpg
17,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  ZEBRONICS PRO Series Z NBC 5S, Intel Core 12th Gen i7 Processor 16GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Blue, 1.76 Kg  ","37,990",N/A,3.7 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0Njc5MDE1Mzk0ODA3OjE3Mjg0NjgxNDU6c3BfbXRmOjMwMDA2NzQxMDg4MTUzMjo6MDo6&url=%2FZEBRONICS-Processor-15-6-Inch-Display-Battery%2Fdp%2FB0CJ75MKMD%2Fref%3Dsr_1_708_sspa%3Fkeywords%3DLaptop%26qid%3D1728468144%26sr%3D8-708-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71MxpK5IWWL._AC_UY218_.jpg
18,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  HP Laptop 14, Intel Core Ultra 5 125H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1022TU  ","69,990",N/A,5.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0Njc5MDE1Mzk0ODA3OjE3Mjg0NjgxNDU6c3BfYnRmOjMwMDM0MjQ3NzY5ODEzMjo6MDo6&url=%2FHP-14-inch-Graphics-Privacy-gr1022TU%2Fdp%2FB0D8J8H131%2Fref%3Dsr_1_709_sspa%3Fkeywords%3DLaptop%26qid%3D1728468144%26sr%3D8-709-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/61grUIPWcuL._AC_UY218_.jpg
19,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.48kg Laptop  ","33,990",N/A,3.7 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mjc0Njc5MDE1Mzk0ODA3OjE3Mjg0NjgxNDU6c3BfYnRmOjMwMDE2OTE2NDI4MzQzMjo6MDo6&url=%2FDell-Smartchoice-i3-1215U-Processor-Spill-Resistant%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_710_sspa%3Fkeywords%3DLaptop%26qid%3D1728468144%26sr%3D8-710-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,https://m.media-amazon.com/images/I/61dJdlYALfL._AC_UY218_.jpg
20,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Dell Inspiron 3535, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/MS Office' 21/15.6""(39.62 cm) FHD Display/15 Month McAfee/Carbon Black/1.67kg Thin & Light Laptop  ","28,990",N/A,3.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzkwMTQ1MDQ1NzAwNzcwOjE3Mjg0NjgxNDQ6c3BfYXRmX25leHQ6MzAwMzQ3ODIwMzEzNTMyOjowOjo&url=%2FDell-Inspiron-Window-Office-McAfee%2Fdp%2FB0DG5CY2Y2%2Fref%3Dsr_1_97_sspa%3Fdib%3DeyJ2IjoiMSJ9.7idcIkIf9_oIYmdVvCSATwol_44YC8PAfV-28G_lu2j2QQlHsJqa-wFaVqjOXs_JWF1mLu_twm67qV4y5iw8ADCqI5N87uhAoj0X8vI1RU5fKsyhqJGFAxiZz11TPVUy9Wjek6s_joiw0F_muh0xiAY2g5zN_Dq31JIhJz0ASTpcHRTqaWx_Fx3viFiKoKvffrXg1xpWcQRIAZPdF861BrXwzJw4DE5_-KjR9PmtK6g.hWzC221mU4EDljSyWPHdGKz69JV255ItdBH0s739Wfs%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1728468144%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/61Kfqt-h5-L._AC_UY218_.jpg
21,"SponsoredSponsored You are seeing this ad based on the product’s relevance to your search query.Let us know  Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",N/A,4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzkwMTQ1MDQ1NzAwNzcwOjE3Mjg0NjgxNDQ6c3BfYXRmX25leHQ6MzAwMTA0NjAzNDk3NDMyOjowOjo&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_98_sspa%3Fdib%3DeyJ2IjoiMSJ9.7idcIkIf9_oIYmdVvCSATwol_44YC8PAfV-28G_lu2j2QQlHsJqa-wFaVqjOXs_JWF1mLu_twm67qV4y5iw8ADCqI5N87uhAoj0X8vI1RU5fKsyhqJGFAxiZz11TPVUy9Wjek6s_joiw0F_muh0xiAY2g5zN_Dq31JIhJz0ASTpcHRTqaWx_Fx3viFiKoKvffrXg1xpWcQRIAZPdF861BrXwzJw4DE5_-KjR9PmtK6g.hWzC221mU4EDljSyWPHdGKz69JV255ItdBH0s739Wfs%26dib_tag%3Dse%26keywords%3DLaptop%26qid%3D1728468144%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg
22,"(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim  ","21,000",N/A,3.6 out of 5 stars,https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BLVV4J9X/ref=sr_1_99?dib=eyJ2IjoiMSJ9.7idcIkIf9_oIYmdVvCSATwol_44YC8PAfV-28G_lu2j2QQlHsJqa-wFaVqjOXs_JWF1mLu_twm67qV4y5iw8ADCqI5N87uhAoj0X8vI1RU5fKsyhqJGFAxiZz11TPVUy9Wjek6s_joiw0F_muh0xiAY2g5zN_Dq31JIhJz0ASTpcHRTqaWx_Fx3viFiKoKvffrXg1xpWcQRIAZPdF861BrXwzJw4DE5_-KjR9PmtK6g.hWzC221mU4EDljSyWPHdGKz69JV255ItdBH0s739Wfs&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-99,https://m.media-amazon.com/images/I/418cc1MvF1L._AC_UY218_.jpg
23,"ZEBRONICS PRO Series Z NBC 4S, Intel Core 12th Gen i5 Processor 16GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Blue, 1.76 Kg  ","31,990",N/A,3.5 out of 5 stars,https://www.amazon.in/ZEBRONICS-4S-Processor-16GB-Blue/dp/B0CJ76MR49/ref=sr_1_100?dib=eyJ2IjoiMSJ9.7idcIkIf9_oIYmdVvCSATwol_44YC8PAfV-28G_lu2j2QQlHsJqa-wFaVqjOXs_JWF1mLu_twm67qV4y5iw8ADCqI5N87uhAoj0X8vI1RU5fKsyhqJGFAxiZz11TPVUy9Wjek6s_joiw0F_muh0xiAY2g5zN_Dq31JIhJz0ASTpcHRTqaWx_Fx3viFiKoKvffrXg1xpWcQRIAZPdF861BrXwzJw4DE5_-KjR9PmtK6g.hWzC221mU4EDljSyWPHdGKz69JV255ItdBH0s739Wfs&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-100,https://m.media-amazon.com/images/I/71irkPaKQpL._AC_UY218_.jpg
24,"HP Laptop 15s, Intel Celeron N4500, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Black, 1.65 kg), fq3066TU  ","27,990",N/A,3.1 out of 5 stars,https://www.amazon.in/HP-15-6-inch-Micro-Edge-Graphics-15s-fq3066TU/dp/B0CJC7S45V/ref=sr_1_101?dib=eyJ2IjoiMSJ9.7idcIkIf9_oIYmdVvCSATwol_44YC8PAfV-28G_lu2j2QQlHsJqa-wFaVqjOXs_JWF1mLu_twm67qV4y5iw8ADCqI5N87uhAoj0X8vI1RU5fKsyhqJGFAxiZz11TPVUy9Wjek6s_joiw0F_muh0xiAY2g5zN_Dq31JIhJz0ASTpcHRTqaWx_Fx3viFiKoKvffrXg1xpWcQRIAZPdF861BrXwzJw4DE5_-KjR9PmtK6g.hWzC221mU4EDljSyWPHdGKz69JV255ItdBH0s739Wfs&dib_tag=se&keywords=Laptop&qid=1728468144&sr=8-101,https://m.media-amazon.com/images/I/71LhzW4cznL._AC_UY218_.jpg
